Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
65;66;56.7632;52906.3204231262
66;67;56.5183;52963.0836219788
67;68;59.2612;53019.6019210815
68;69;41.7183;53078.8631210327
69;70;42.9513;53120.5814208984
70;71;45.1452;53163.5327224731
71;72;49.3027;53208.6779212952
72;73;46.5178;53257.9806213379
73;74;60.3519;53304.4984207153
74;75;45.346;53364.8503189087
75;76;58.3033;53410.1963195801
76;77;52.7324;53468.4996185303
77;78;51.8803;53521.2320175171
78;79;49.8843;53573.1123161316
79;80;46.4364;53622.9966163635
80;81;43.4095;53669.4330177307
81;82;42.127;53712.8425178528
82;83;43.6756;53754.9695167542
83;84;47.6319;53798.6451148987
84;85;53.1753;53846.277015686
85;86;49.5723;53899.4523162842
86;87;45.3425;53949.0246162415
87;88;44.4936;53994.3671150208
88;89;44.6579;54038.8607139587
89;90;46.5338;54083.5186157227
90;91;54.6497;54130.0524139404
91;92;239.3606;54184.7021141052
92;93;281.7851;54424.0627250671
93;94;61.5957;54705.847820282
94;95;54.8939;54767.4435195923
95;96;55.0808;54822.3374176025
96;97;44.779;54877.4182167053
97;98;45.2039;54922.1972160339
98;99;51.3621;54967.4011154175
99;100;42.566;55018.7632141113
100;101;43.4782;55061.3292121887
101;102;104.264;55104.8074111938
102;103;50.4992;55209.0714111328
103;104;44.0401;55259.5706100464
104;105;42.1993;55303.610710144
105;106;39.932;55345.8100090027
106;107;41.0611;55385.7420082092
107;108;40.7401;55426.8031082153
108;109;53.5341;55467.5432090759
109;110;47.0974;55521.0773086548
110;111;39.614;55568.1747093201
111;112;37.1396;55607.7887077332
112;113;41.307;55644.9283065796
113;114;42.2891;55686.2353057861
114;115;42.1693;55728.5244064331
115;116;41.9441;55770.6937065125
116;117;41.775;55812.6378059387
117;118;44.2498;55854.4128074646
118;119;39.2749;55898.6626091003
119;120;41.3706;55937.9375076294
120;121;46.2123;55979.3081092834
121;122;41.207;56025.5204086304
122;123;40.7902;56066.7274093628
123;124;40.4979;56107.5176086426
124;125;38.6735;56148.0155067444
125;126;40.2308;56186.6890068054
126;127;40.2809;56226.9198074341
127;128;40.8251;56267.2007064819
128;129;39.3957;56308.025806427
129;130;41.5482;56347.4215049744
130;131;41.6963;56388.9697036743
131;132;606.6125;56430.6660041809
132;133;59.8894;57037.2784919739
133;134;43.5719;57097.1678924561
134;135;48.2617;57140.7397918701
135;136;48.382;57189.0014915466
136;137;48.6955;57237.3834915161
137;138;46.1991;57286.0789909363
138;139;46.4185;57332.2780914307
139;140;46.7503;57378.6965904236
140;141;44.1432;57425.4468917847
141;142;47.6284;57469.5900917053
142;143;54.1271;57517.2184906006
143;144;57.7273;57571.3455886841
144;145;47.8887;57629.0728874207
145;146;49.1803;57676.9615859985
146;147;51.6335;57726.1418876648
147;148;49.142;57777.7753868103
148;149;41.8634;57826.9173851013
149;150;40.1274;57868.7807846069
150;151;41.1809;57908.9081840515
151;152;39.9503;57950.0890846252
152;153;42.6233;57990.0393829346
153;154;43.5396;58032.6626815796
154;155;47.8357;58076.2022819519
155;156;40.599;58124.0379829407
156;157;40.9826;58164.6369819641
157;158;42.5183;58205.6195831299
158;159;41.3084;58248.1378822327
159;160;42.3415;58289.4462814331
160;161;953.6407;58331.7877807617
161;162;56.4835;59285.4284667969
162;163;44.6626;59341.9119682312
163;164;42.8411;59386.5745697021
164;165;48.8421;59429.4156684875
165;166;40.6214;59478.2577667236
166;167;42.5334;59518.8791656494
167;168;40.0276;59561.4125671387
168;169;43.517;59601.4401664734
169;170;46.9191;59644.9571647644
170;171;42.4855;59691.8762664795
171;172;41.8015;59734.3617668152
172;173;45.4104;59776.1632652283
173;174;49.9322;59821.5736656189
174;175;43.4523;59871.5058670044
175;176;49.3462;59914.9581680298
176;177;45.3578;59964.3043670654
177;178;44.6887;60009.6621665955
178;179;40.675;60054.3508682251
179;180;40.2784;60095.0258674622
180;181;41.8787;60135.3042678833
181;182;40.4098;60177.1829681396
182;183;132.1489;60217.5927696228
183;184;51.0409;60349.7416648865
184;185;38.4837;60400.7825660706
185;186;41.0929;60439.2662658691
186;187;41.0858;60480.3591651917
187;188;45.8897;60521.4449653625
